plot,soil,subplot,herbivory,DOY,biomass
1,siltyloam,1,spray,157,12.5
1,siltyloam,2,spray,184,8.4
1,siltyloam,3,spray,246,12.8
1,siltyloam,4,control,157,2.2
1,siltyloam,5,control,184,12.6
1,siltyloam,6,control,246,21.2
2,clay,1,spray,157,5.6
2,clay,2,spray,184,6.3
2,clay,3,spray,246,8.1
2,clay,4,control,157,6.333333
2,clay,5,control,184,19.4
2,clay,6,control,246,7.4
3,sandyloam,1,spray,157,12.4
3,sandyloam,2,spray,184,10.4
3,sandyloam,3,spray,246,17.8
3,sandyloam,4,control,157,6.4
3,sandyloam,5,control,184,14
3,sandyloam,6,control,246,18.8
4,siltyloam,1,spray,157,6.9
4,siltyloam,2,spray,184,13
4,siltyloam,3,spray,246,18.2
4,siltyloam,4,control,157,8.9
4,siltyloam,5,control,184,13.2
4,siltyloam,6,control,246,18.2
5,clay,1,spray,157,4.1
5,clay,2,spray,184,3.25
5,clay,3,spray,246,3.2
5,clay,4,control,157,1.4
5,clay,5,control,184,2.6
5,clay,6,control,246,2.2
6,sandyloam,1,spray,157,10
6,sandyloam,2,spray,184,10.4
6,sandyloam,3,spray,246,16.4
6,sandyloam,4,control,157,12
6,sandyloam,5,control,184,20
6,sandyloam,6,control,246,24.6
7,siltyloam,1,spray,157,8.75
7,siltyloam,2,spray,184,13
7,siltyloam,3,spray,246,18
7,siltyloam,4,control,157,12.1
7,siltyloam,5,control,184,12
7,siltyloam,6,control,246,18
8,clay,1,spray,157,2
8,clay,2,spray,184,7.6
8,clay,3,spray,246,6.4
8,clay,4,control,157,2.25
8,clay,5,control,184,7.6
8,clay,6,control,246,7.75
9,sandyloam,1,spray,157,14.1
9,sandyloam,2,spray,184,6.4
9,sandyloam,3,spray,246,17.75
9,sandyloam,4,control,157,16
9,sandyloam,5,control,184,14.4
9,sandyloam,6,control,246,21