plant,block,herbivory,pollination,num_leaves,leafdamage,totalfruits
41,6,H,NP,5,50,3
42,6,M,HP,9,13,28
43,6,L,HP,11,4,29
44,6,L,NP,3,7,15
45,6,O,HP,14,4,6
46,6,H,HP,2,40,5
47,6,M,NP,3,18,8
48,6,O,NP,10,1,22
49,7,L,NP,5,4,20
50,7,H,HP,1,39,4
51,7,M,HP,13,18,0
52,7,M,NP,13,19,29
53,7,O,NP,12,3,6
54,7,O,HP,8,4,14
55,7,L,HP,10,7,24
56,7,H,NP,4,32,13
57,8,O,HP,9,0,9
58,8,H,HP,9,36,9
59,8,H,NP,8,38,14
60,8,L,NP,7,0,15
61,8,M,HP,9,11,11
62,8,M,NP,6,18,15
63,8,L,HP,5,6,16
64,8,O,NP,13,1,27
65,9,H,NP,3,38,NA
66,9,L,NP,7,9,24
67,9,H,HP,7,53,13
68,9,L,HP,6,5,15
69,9,M,HP,10,17,19
70,9,O,HP,10,4,15
71,9,O,NP,12,0,29
72,9,M,NP,2,18,16
73,10,H,HP,3,52,14
74,10,M,HP,10,26,24
75,10,O,HP,12,3,42
76,10,O,NP,15,0,16
77,10,L,HP,12,4,27
78,10,H,NP,11,52,10
79,10,L,NP,11,0,8
80,10,M,NP,12,15,25
81,11,M,NP,10,27,0
82,11,L,NP,10,10,29
83,11,L,HP,12,5,35
84,11,O,NP,16,2,26
85,11,H,HP,6,36,8
86,11,M,HP,6,7,13
87,11,H,NP,5,44,NA
88,11,O,HP,15,0,25
89,12,H,HP,8,25,15
90,12,O,HP,15,5,17
91,12,O,NP,13,5,13
92,12,L,HP,4,0,0
93,12,L,NP,7,7,0
94,12,M,NP,5,28,7
95,12,H,NP,4,25,7
96,12,M,HP,6,19,1
97,13,L,NP,8,5,16
98,13,O,HP,11,0,9
99,13,L,HP,13,4,20
100,13,H,HP,5,49,10
101,13,M,NP,7,14,9
102,13,H,NP,6,35,12
103,13,O,NP,16,4,26
104,13,M,HP,10,8,NA
105,14,M,NP,12,29,32
106,14,M,HP,7,23,NA
107,14,L,NP,11,10,1
108,14,H,NP,3,36,11
109,14,H,HP,4,54,4
110,14,O,NP,16,3,18
111,14,L,HP,15,0,30
112,14,O,HP,13,0,25
113,15,L,HP,14,10,6
114,15,M,NP,8,15,30
115,15,O,NP,16,2,39
116,15,H,HP,5,40,11
117,15,L,NP,15,7,34
118,15,H,NP,6,49,2
119,15,O,HP,14,2,23
120,15,M,HP,13,29,18
121,16,L,NP,11,3,27
122,16,L,HP,12,4,13
123,16,O,HP,16,0,34
124,16,H,HP,8,43,4
125,16,H,NP,12,41,2
126,16,O,NP,13,2,11
127,16,M,HP,15,28,28
128,16,M,NP,11,24,NA
129,17,M,NP,19,14,32
130,17,H,HP,13,45,4
131,17,L,HP,15,0,24
132,17,L,NP,14,0,22
133,17,M,HP,17,14,20
134,17,O,NP,20,8,NA
135,17,H,NP,14,37,NA
136,17,O,HP,17,4,12
137,18,L,NP,13,6,4
138,18,M,HP,13,10,10
139,18,O,NP,14,0,24
140,18,H,NP,8,42,3
141,18,M,NP,12,13,1
142,18,L,HP,10,4,24
143,18,H,HP,8,53,2
144,18,O,HP,9,0,25
145,19,L,NP,11,7,10
146,19,H,HP,10,26,3
147,19,M,NP,8,21,24
148,19,H,NP,12,42,4
149,19,M,HP,10,24,6
150,19,O,HP,15,2,16
151,19,L,HP,15,5,17
152,19,O,NP,14,10,27
153,20,H,NP,7,41,0
154,20,M,NP,9,20,8
155,20,O,NP,9,5,16
156,20,H,HP,8,42,1
157,20,L,HP,8,10,20
158,20,O,HP,8,0,17
159,20,M,HP,8,24,21
160,20,L,NP,8,10,0
161,21,H,HP,7,32,11
162,21,L,NP,8,4,8
163,21,M,HP,8,20,25
164,21,M,NP,8,20,8
165,21,O,NP,7,4,20
166,21,H,NP,7,29,0
167,21,L,HP,8,9,20
168,21,O,HP,7,0,3
169,22,L,HP,6,9,0
170,22,O,HP,9,5,21
171,22,M,NP,7,26,0
172,22,L,NP,9,5,15
173,22,H,HP,7,25,8
174,22,H,NP,6,28,14
175,22,M,HP,6,26,17
176,22,O,NP,8,0,7
177,23,O,HP,9,2,12
178,23,O,NP,9,0,11
179,23,M,HP,9,13,14
180,23,L,HP,10,0,13
181,23,H,NP,8,47,4
182,23,M,NP,8,16,10
183,23,L,NP,8,8,13
184,23,H,HP,9,39,13
185,24,O,HP,10,0,10
186,24,L,HP,10,7,9
187,24,O,NP,10,1,9
188,24,L,NP,9,0,7
189,24,H,HP,8,46,2
190,24,M,NP,9,27,9
191,24,M,HP,10,3,2
192,24,H,NP,8,54,6
193,25,H,NP,11,25,13
194,25,H,HP,7,49,10
195,25,M,NP,8,20,6
196,25,O,NP,8,1,17
197,25,L,HP,8,7,7
198,25,M,HP,9,10,12
199,25,O,HP,10,2,16
200,25,L,NP,9,5,10
201,26,L,NP,10,7,10
202,26,M,NP,11,26,9
203,26,H,HP,10,55,1
204,26,H,NP,9,38,6
205,26,L,HP,8,4,7
206,26,O,NP,8,0,11
207,26,M,HP,9,16,4
208,26,O,HP,9,11,7
209,27,H,HP,8,45,6
210,27,L,HP,8,6,10
211,27,M,HP,9,16,10
212,27,L,NP,9,6,10
213,27,H,NP,8,28,15
214,27,M,NP,8,22,14
215,27,O,NP,10,5,17
216,27,O,HP,8,2,11
217,28,O,HP,9,2,6
218,28,H,NP,10,49,9
219,28,M,HP,8,17,8
220,28,L,HP,9,5,12
221,28,O,NP,11,1,10
222,28,M,NP,10,26,NA
223,28,H,HP,10,35,9
224,28,L,NP,7,5,9
225,29,L,NP,9,3,11
226,29,M,NP,8,24,9
227,29,M,HP,9,11,6
228,29,L,HP,8,9,11
229,29,O,HP,10,1,15
230,29,H,HP,9,48,14
231,29,O,NP,7,3,17
232,29,H,NP,9,31,16
233,30,H,NP,9,42,6
234,30,H,HP,10,30,5
235,30,L,NP,8,8,10
236,30,O,HP,8,3,10
237,30,M,NP,8,17,13
238,30,O,NP,8,1,14
239,30,L,HP,8,4,5
240,30,M,HP,8,28,16